Номер;Тип;Модель;Типоразмер;Диаметр ММ;Производительность м3/с;Давление(па);Мощность(ВТ);Уровень шума;Цена в рублях;nominal_rpm;pressure_coefficients;efficiency_coefficients;Num;h ed;D;D1;d;n;L;L1 max;L2;l;b;d1;B;H1;H
V13-284-5-6-20-580A2;Осевой;ВО 13-284-6/20°-5-80A2;80A2;505;1.40 - 3.50;500 - 250;1500;-;-;2800;-;-;6;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-6-25-580B2;Осевой;ВО 13-284-6/25°-5-80B2;80B2;505;2.10 - 4.00;540 - 330;2200;-;-;2800;-;-;6;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-8-20-563B4;Осевой;ВО 13-284-8/20°-5-63B4;63B4;505;0.80 - 1.80;135 - 65;370;-;-;1370;-;-;8;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-8-25-563B4;Осевой;ВО 13-284-8/25°-5-63B4;63B4;505;1.00 - 2.10;155 - 90;370;-;-;1370;-;-;8;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-8-30-563B4;Осевой;ВО 13-284-8/30°-5-63B4;63B4;505;1.40 - 2.30;155 - 105;370;-;-;1370;-;-;8;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-8-20-580B2;Осевой;ВО 13-284-8/20°-5-80B2;80B2;505;1.60 - 3.70;565 - 270;2200;-;-;2800;-;-;8;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-10-20-563B4;Осевой;ВО 13-284-10/20°-5-63B4;63B4;505;0.80 - 1.80;145 - 70;370;-;-;1370;-;-;10;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-10-25-563B4;Осевой;ВО 13-284-10/25°-5-63B4;63B4;505;1.00 - 2.20;175 - 95;370;-;-;1370;-;-;10;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-10-30-563B4;Осевой;ВО 13-284-10/30°-5-63B4;63B4;505;1.40 - 2.40;175 - 110;370;-;-;1370;-;-;10;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-10-20-580B2;Осевой;ВО 13-284-10/20°-5-80B2;80B2;505;1.70 - 3.80;615 - 285;2200;-;-;2800;-;-;10;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-6.3-4-15-6.371A6;Осевой;ВО 13-284-4/15°-6,3-71A6;71A6;635;1.65 - 1.75;55 - 25;370;-;-;880;-;-;4;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-4-20-6.371A6;Осевой;ВО 13-284-4/20°-6,3-71A6;71A6;635;0.90 - 2.00;60 - 35;370;-;-;880;-;-;4;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-4-25-6.371A6;Осевой;ВО 13-284-4/25°-6,3-71A6;71A6;635;1.30 - 2.40;65 - 45;370;-;-;880;-;-;4;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-4-15-6.371B4;Осевой;ВО 13-284-4/15°-6,3-71B4;71B4;635;1.00 - 2.70;130 - 55;750;-;-;1370;-;-;4;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-4-20-6.371B4;Осевой;ВО 13-284-4/20°-6,3-71B4;71B4;635;1.40 - 3.20;145 - 80;750;-;-;1370;-;-;4;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-4-25-6.371B4;Осевой;ВО 13-284-4/25°-6,3-71B4;71B4;635;2.00 - 3.70;155 - 105;750;-;-;1370;-;-;4;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-4-30-6.371B4;Осевой;ВО 13-284-4/30°-6,3-71B4;71B4;635;2.80 - 4.10;160 - 135;750;-;-;1370;-;-;4;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-4-15-6.390L2;Осевой;ВО 13-284-4/15°-6,3-90L2;90L2;635;2.10 - 5.60;570 - 240;3000;-;-;2840;-;-;4;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-4-20-6.3100S2;Осевой;ВО 13-284-4/20°-6,3-100S2;100S2;635;3.00 - 6.80;640 - 360;4000;-;-;2840;-;-;4;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
